date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:43	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:41%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=13&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.22a9e4.delayed	(from https://www.schoolaura.com/)
13:54:44	352737/352737	---M--	200	added ('OK')	image/png	etag:%22e221571dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/banner-2/Layer-20.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/banner-2/Layer-20.png	(from https://www.schoolaura.com/)
13:54:44	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:42%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=14&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.238ae5.delayed	(from https://www.schoolaura.com/)
13:54:45	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:42%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=8&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.248e86.delayed	(from https://www.schoolaura.com/)
13:54:45	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:43%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=9&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2528d8.delayed	(from https://www.schoolaura.com/)
13:54:46	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:43%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=12&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.264c2a.delayed	(from https://www.schoolaura.com/)
13:54:47	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:45%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=11&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.27fac3.delayed	(from https://www.schoolaura.com/)
13:54:47	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:45%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=10&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.28a032.delayed	(from https://www.schoolaura.com/)
13:54:48	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:46%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=7&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.290cc6.delayed	(from https://www.schoolaura.com/)
13:54:49	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:46%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=24&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2a82b9.delayed	(from https://www.schoolaura.com/)
13:54:49	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:47%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=23&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2ba889.delayed	(from https://www.schoolaura.com/)
13:54:50	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:47%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=28&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2cddde.delayed	(from https://www.schoolaura.com/)
13:54:51	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:49%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=40&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2d6c8b.delayed	(from https://www.schoolaura.com/)
13:54:51	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:49%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=25&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2ef8d6.delayed	(from https://www.schoolaura.com/)
13:54:55	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:53%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=27&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.2f5883.delayed	(from https://www.schoolaura.com/)
13:54:55	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:53%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=41&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.307023.delayed	(from https://www.schoolaura.com/)
13:54:56	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:54%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=44&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.313abb.delayed	(from https://www.schoolaura.com/)
13:54:57	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:54%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=32&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.326cb9.delayed	(from https://www.schoolaura.com/)
13:54:57	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:55%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=37&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.33d3d4.delayed	(from https://www.schoolaura.com/)
13:54:58	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:55%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=21&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.34e276.delayed	(from https://www.schoolaura.com/)
13:54:59	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:56%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=70&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.359327.delayed	(from https://www.schoolaura.com/)
13:54:59	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:24:56%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=71&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.366eb9.delayed	(from https://www.schoolaura.com/)
13:55:21	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:25:19%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=51&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.387d33.delayed	(from https://www.schoolaura.com/)
13:55:21	30278/30278	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2006%20Mar%202025%2008:25:19%20GMT	https://www.schoolaura.com/mcq-exam?Category_Id=46&Exam_Type=1	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/mcq-exam.39254e.delayed	(from https://www.schoolaura.com/)
13:55:22	155430/155430	---M--	200	added ('OK')	image/jpeg	etag:%226f984d1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/school_aura_app.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/school_aura_app.jpg	(from https://www.schoolaura.com/)
13:55:23	240078/240078	---M--	200	added ('OK')	image/png	etag:%225831c71dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/spreading/spreading.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/spreading/spreading.png	(from https://www.schoolaura.com/)
13:55:24	279043/279043	---M--	200	added ('OK')	image/png	etag:%22746cc21dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/spreading/Clip.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/spreading/Clip.png	(from https://www.schoolaura.com/)
13:55:24	139470/139470	---M--	200	added ('OK')	image/png	etag:%22c694aa1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/happy-clients/client.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/happy-clients/client.png	(from https://www.schoolaura.com/)
13:55:24	3878/3878	---M--	200	added ('OK')	image/png	etag:%2212a99e1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/happy-clients/client-1.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/happy-clients/client-1.png	(from https://www.schoolaura.com/)
13:55:25	3970/3970	---M--	200	added ('OK')	image/png	etag:%2242ba11dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/happy-clients/client-2.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/happy-clients/client-2.png	(from https://www.schoolaura.com/)
13:55:25	3558/3558	---M--	200	added ('OK')	image/png	etag:%2221d0a51dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/happy-clients/client-3.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/happy-clients/client-3.png	(from https://www.schoolaura.com/)
13:55:26	3794/3794	---M--	200	added ('OK')	image/png	etag:%22a332a81dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/happy-clients/client-4.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/happy-clients/client-4.png	(from https://www.schoolaura.com/)
13:55:27	162868/162868	---M--	200	added ('OK')	image/jpeg	etag:%224130e61dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user2.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user2.jpg	(from https://www.schoolaura.com/)
13:55:27	45578/45578	---M--	200	added ('OK')	image/png	etag:%228b7fd51dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-3.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-3.png	(from https://www.schoolaura.com/)
13:55:28	71492/71492	---M--	200	added ('OK')	image/jpeg	etag:%224144da1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-4.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-4.jpg	(from https://www.schoolaura.com/)
13:55:28	71685/71685	---M--	200	added ('OK')	image/jpeg	etag:%227aa6dc1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-5.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-5.jpg	(from https://www.schoolaura.com/)
13:55:29	52489/52489	---M--	200	added ('OK')	image/jpeg	etag:%22e68df1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-6.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/tutor-solution-page/user-6.jpg	(from https://www.schoolaura.com/)
13:55:29	48691/48691	---M--	200	added ('OK')	image/png	etag:%22fdf5cb1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/subscribe/Clip.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/subscribe/Clip.png	(from https://www.schoolaura.com/)
13:55:30	27372/27372	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:25:27%20GMT	https://www.schoolaura.com/about	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/about.html	(from https://www.schoolaura.com/)
13:55:30	25644/25644	---M--	200	added ('OK')	text/html	date:Thu,%2006%20Mar%202025%2008:25:28%20GMT	https://www.schoolaura.com/benefits	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/benefits.html	(from https://www.schoolaura.com/)
13:55:52	3159/3159	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2008:25:49%20GMT	https://www.schoolaura.com/term_conditions	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/term_conditions.4b.delayed	(from https://www.schoolaura.com/)
13:55:53	3287/3287	---M--	200	added ('OK')	image/png	etag:%222ebd921dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/footer-icon/fb.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/footer-icon/fb.png	(from https://www.schoolaura.com/)
13:55:54	5041/5041	---M--	200	added ('OK')	image/png	etag:%22cd1f951dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/footer-icon/insta.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/footer-icon/insta.png	(from https://www.schoolaura.com/)
13:55:54	3574/3574	---M--	200	added ('OK')	image/png	etag:%22f181971dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/footer-icon/twitter.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/footer-icon/twitter.png	(from https://www.schoolaura.com/)
13:55:55	4160/4160	---M--	200	added ('OK')	image/png	etag:%22c0469c1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/footer-icon/whatsapp.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/footer-icon/whatsapp.png	(from https://www.schoolaura.com/)
13:56:16	84378/84378	---MCZ	200	added ('OK')	application/javascript	etag:W/%221499a-rsVR5NVzRjCI/KfRT7ZE6zifGDk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/School%20Aura/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/js/bootstrap.bundle.min.js	(from https://www.schoolaura.com/)
13:56:17	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/School%20Aura/unpkg.com/aos@2.3.1/dist/aos.js	(from https://www.schoolaura.com/)
13:56:17	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%226494c7bb-2c64%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/My%20Web%20Sites/School%20Aura/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://www.schoolaura.com/)
13:56:23	4420/4420	---M--	200	added ('OK')	image/png	etag:%229a80b61dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/header/logo-cloud.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/header/logo-cloud.png	(from https://www.schoolaura.com/Content/new_assets/css/style.css)
13:56:24	143249/143249	---M--	200	added ('OK')	application/javascript	etag:%226465dd4a8331265e6629cd069e03504c%22	http://s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	C:/My%20Web%20Sites/School%20Aura/s3.amazonaws.com/downloads.mailchimp.com/js/mc-validate.js	(from https://www.schoolaura.com/)
13:56:24	83203/83203	---M--	200	added ('OK')	image/png	etag:%22b559af1dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/header/banner-bg.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/header/banner-bg.png	(from https://www.schoolaura.com/Content/new_assets/css/style.css)
13:56:24	25228/25228	---M--	200	added ('OK')	image/png	etag:%221bbcb11dcf3d81:0%22	https://www.schoolaura.com/Content/new_assets/images/header/header-girl-icon.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/header/header-girl-icon.png	(from https://www.schoolaura.com/Content/new_assets/css/style.css)
13:56:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2008:26:23%20GMT	https://www.schoolaura.com/Content/new_assets/images/blog/pexels-fauxels-3184360.jpg	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/blog/pexels-fauxels-3184360.58.delayed	(from https://www.schoolaura.com/Content/new_assets/css/style.css)
13:56:25	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2008:26:23%20GMT	https://www.schoolaura.com/Content/new_assets/images/blog/pen_PNG7412.png	C:/My%20Web%20Sites/School%20Aura/www.schoolaura.com/Content/new_assets/images/blog/pen_PNG7412.59.delayed	(from https://www.schoolaura.com/Content/new_assets/css/style.css)
13:56:26	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/My%20Web%20Sites/School%20Aura/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
